N   g_theoretical   g        delta_g
1   9.778           9.4256   0.0748
2   9.778           9.3080   0.0739
3   9.778           9.4045   0.0758
4   9.778           9.4848   0.0770
5   9.778           9.3960   0.0768
6   9.778           9.7665   0.0819
7   9.778           9.7018   0.0816
8   9.778           9.4346   0.0792
9   9.778           9.3033   0.0781
10  9.778           9.4712   0.0808
11  9.778           9.4406   0.0811
12  9.778           9.3663   0.0808
13  9.778           9.4315   0.0822
14  9.778           9.4508   0.0835
15  9.778           9.5096   0.0853
16  9.778           9.5648   0.0871
