N   g_theoretical   g        delta_g
1   9.7808           9.4165   0.0750
2   9.7808           9.4955   0.0759
3   9.7808           9.4653   0.0750
4   9.7808           8.3552   0.0626
5   9.7808           9.6315   0.0770
6   9.7808           9.2535   0.0725
7   9.7808           8.8268   0.0679
8   9.7808           8.4543   0.0635
9   9.7808           9.5200   0.0757
10  9.7808           9.4800   0.0754
11  9.7808           9.4850   0.0755
12  9.7808           9.5317   0.0761
13  9.7808           9.5259   0.0757
14  9.7808           9.4774   0.0754
15  9.7808           9.4947   0.0756
16  9.7808           9.5226   0.0757
